year,exam,question_number,question,option_a,option_b,option_c,option_d
2025,UPSC Prelims GS1,89,"Consider the following statements :
Statement I :
In India, State Governments have no power for making rules for grant of concessions in respect of extraction of minor minerals even though such minerals are located in their territories.
Statement II :
In India, the Central Government has the power to notify minor minerals under the relevant law.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,90,"Which organization has enacted the Nature Restoration Law (NRL) to tackle climate change and biodiversity loss?","The European Union","The World Bank","The Organization for Economic Cooperation and Development","The Food and Agriculture Organization"
2025,UPSC Prelims GS1,91,"Consider the following statements :
I. Panchayats at the intermediate level exist in all States.
II. To be eligible to be a Member of a Panchayat at the intermediate level, a person should attain the age of thirty years.
III. The Chief Minister of a State constitutes a commission to review the financial position of Panchayats at the intermediate levels and to make recommendations regarding the distribution of net proceeds of taxes and duties, leviable by the State, between the State and Panchayats at the intermediate level.
Which of the statements given above are not correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,92,"Consider the following statements in respect of BIMSTEC :
I. It is a regional organization consisting of seven member States till January 2025.
II. It came into existence with the signing of the Dhaka Declaration, 1999.
III. Bangladesh, India, Sri Lanka, Thailand and Nepal are founding member States of BIMSTEC.
IV. In BIMSTEC, the subsector of 'tourism' is being led by India.
Which of the statements given above is/are correct?","I and II","II and III","I and IV","I only"
2025,UPSC Prelims GS1,93,"Who amongst the following are members of the Jury to select the recipient of 'Gandhi Peace Prize'?
I. The President of India
II. The Prime Minister of India
III. The Chief Justice of India
IV. The Leader of Opposition in the Lok Sabha
Select the correct answer using the code given below.","II and IV only","I, II and III","II, III and IV","I and III only"
2025,UPSC Prelims GS1,94,"GPS-Aided Geo Augmented Navigation (GAGAN) uses a system of ground stations to provide necessary augmentation. Which of the following statements is/are correct in respect of GAGAN?
I. It is designed to provide additional accuracy and integrity.
II. It will allow more uniform and high quality air traffic management.
III. It will provide benefits only in aviation but not in other modes of transportation.
Select the correct answer using the code given below.","I, II and III","II and III only","I only","I and II only"
2025,UPSC Prelims GS1,95,"Consider the following statements regarding AI Action Summit held in Grand Palais, Paris in February 2025 :
I. Co-chaired with India, the event builds on the advances made at the Bletchley Park Summit held in 2023 and the Seoul Summit held in 2024.
II. Along with other countries, US and UK also signed the declaration on inclusive and sustainable AI.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,96,"Consider the following pairs :
I. International Year of the Woman Farmer : 2026
II. International Year of Sustainable and Resilient Tourism : 2027
III. International Year of Peace and Trust : 2025
IV. International Year of Asteroid Awareness and Planetary Defence : 2029
How many of the pairs given above are correctly matched?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,97,"Consider the following statements with regard to BRICS :
I. 16th BRICS Summit was held under the Chairship of Russia in Kazan.
II. Indonesia has become a full member of BRICS.
III. The theme of the 16th BRICS Summit was Strengthening Multiculturalism for Just Global Development and Security.
Which of the statements given above is/are correct?","I and II","II and III","I and III","I only"
2025,UPSC Prelims GS1,98,"Consider the following statements about Lokpal :
I. The power of Lokpal applies to public servants of India, but not to the Indian public servants posted outside India.
II. The Chairperson or a Member shall not be a Member of the Parliament or a Member of the Legislature of any State or Union Territory, and only the Chief Justice of India, whether incumbent or retired, has to be its Chairperson.
III. The Chairperson or a Member shall not be a person of less than forty-five years of age on the date of assuming office as the Chairperson or Member, as the case may be.
IV. Lokpal cannot inquire into the allegations of corruption against a sitting Prime Minister of India.
Which of the statements given above is/are correct?","III only","II and III","I and IV","None of the above statements is correct"
2025,UPSC Prelims GS1,99,"Consider the following statements in respect of the first Kho Kho World Cup :
I. The event was held in Delhi, India.
II. Indian men beat Nepal with a score of 78-40 in the final to become the World Champion in men category.
III. Indian women beat Nepal with a score of 54-36 in the final to become the World Champion in women category.
Which of the statements given above is/are correct?","I only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,100,"Consider the following statements :
I. In the finals of the 45th Chess Olympiad held in 2024, Gukesh Dommaraju became the world's youngest winner after defeating the Russian player Ian Nepomniachtchi.
II. Abhimanyu Mishra, an American chess player, holds the record of becoming world's youngest ever Grandmaster.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
